release_id,sha256,title,mode,folder_label,candidate_dates,sources,M001,M002,M003
01fb7a18,01fb7a186fc2445631f94ce61a41b906a1db19464ad8d23c85e22d5264ff919a,Syndroid,window,date 1999-12-01..2004-08-26,,,1999-12-01,2004-08-26,
030417e9,030417e950b462e1baaf2d947594726da482591c25c0e2eef6283fac37d523ab,Gun Carnage,run,run 2003-10-30,2003-10-30,2003-10-30 — historical site comment,2003-10-30,2003-11-01,
037bac1d,037bac1d1137ff83335d0ff44c4b1edf4af20643a5c93949f072c4586b2d8096,Jumping Bubble,run,date 2003-07-27,2003-07-27,,2003-07-27,2003-07-28,
045d5e91,045d5e91c93d58261d44f3a3e8a05638d4ef91131b6ec3b7ea3a9241c0c80c12,Warships,run,run 2003-10-28,2003-10-28,2003-10-28 — nearby text/file hint,,,
07f9ecaa,07f9ecaa1f1662683543eb299ec64e25eba22fd1441c85d9ae8ec06c16baa289,Iceblox Plus,window,date 2003-06-16..2010-06-20,,,2003-06-16,2010-06-20,
0b489655,0b4896559eaba0fd9050aa5426c13f036298d152a93c87c954f365dfbf900629,Wilione,window,date 2003-10-13..2010-12-31,,,2003-10-13,2010-12-31,
0d916328,0d9163284a6930ac312cff93907a433efbcc36cc29177c8691d39af4f3ad5a3a,BombJack(tm),run,run 2003-10-30,2003-10-30,2003-10-30 — historical site comment || 2003-10-30 — nearby text/file hint,2003-10-30,2003-11-20,
0edc8e2a,0edc8e2a91b61cd67526abe2e3393b9468d2c3b48149b3f759c34cb0a47bba84,Warships,run,run 2003-10-28,2003-10-28,2003-10-28 — historical site comment,,,
0f6318e4,0f6318e4332528e0154df4d65e5cda063764d3f9b95b6212725902ee6d5cd0c9,Hopper,run,run 2004-06-12,2004-06-12,2004-06-12 — nearby text/file hint,2004-06-12,2004-06-14,
113c2ba6,113c2ba6847ee2439aaf5b216717b4ea7b771b2fa1611eaaa58703471c28deb2,AlphaAttack,run,run 2003-09-25,2003-09-25,2003-09-25 — historical site comment,,,
1450cb75,1450cb75356171a4caabcab9c4c880e9e7e3d561579a6a412e8d66062b6e3f28,Diastima,run,run 2004-03-22,2004-03-22,2004-03-22 — nearby text/file hint,2004-03-22,2004-03-24,
14f18b0a,14f18b0a06f5cef9eefcf7e503f89fd98928d0c1bcebbb4220426c78bb44c09e,Shooting Star,window,date 1999-12-01..2004-08-27,,,1999-12-01,2004-08-27,
152cef68,152cef680528db9e35bceb07b8b554e77188edd8fdb3e0efefcd1e4b00b7c2a1,Graviation,conflict,,2003-10-29|2003-10-30,2003-10-29 — historical site comment || 2003-10-30 — pcbanan Graviation FULL/GRAVIATION.TXT,2003-10-30,2003-10-31,
16ce2921,16ce2921073ab0bc63bdb144c9c35ffaba04350acd238911eec4000e1df2e0a0,Little Indians,window,date 1999-12-01..2004-08-26,,,,,
1d1a5db5,1d1a5db52539def178427d7c9e1944c9285c50eb5e99ef066794fc3e6e6836ff,Evac 610,run,run 2004-04-07,2004-04-07,2004-04-07 — nearby text/file hint,2004-04-07,2004-04-09,
227e0092,227e009260314aca1941223d67c4042a1233efb08d1da3cc8d17af19b0bdc73c,SnowboardX,window,date 2003-06-16..2010-12-31,,,2003-06-16,2010-12-31,
276b2951,276b2951169d12922b0bf7e2ee05e6d069b881ba728c85f68f9856e965ef15f3,The FlintStones,run,run 2003-11-06,2003-11-06,2003-11-06 — historical site comment,,,
2855d741,2855d741d9edc1bb7396dc13679af5c64c987b44b7e1f729be656ed3a0bf4269,SnowboardX,window,date 2003-06-16..2010-06-20,,,2003-06-16,2010-06-20,
2938f7f0,2938f7f06632e15f533ad1e2c30962ab08cbc6a143b478d2397bbf554717d464,Q Soccer,window,date 2003-06-16..2010-06-20,,,2003-06-16,2010-06-20,
2abb37bc,2abb37bcb7cba2b5a5c359759d423567a7e874335d0f66d8b2292e92c8e247fc,CourierBob,window,date 1999-12-01..2004-08-25,,,,,
3399f7d3,3399f7d3b062ef6912edbe434e9e16388af175dda18a77a6a3dee3ea5e781674,Basketball Challange SE,run,run 2004-03-10,2004-03-10,2004-03-10 — nearby text/file hint,2004-03-10,2004-03-12,
361f6b82,361f6b82b942580af923941f26781da52cd08063aa7872b25f67435304c8f631,AlphaAttack,run,run 2003-09-25,2003-09-25,2003-09-25 — historical site comment,,,
37447523,37447523c02e0fd620be5d6889ac8185984c39ba5927637c29129bf12c5a9b93,Prehistorik Man,window,date 1999-12-01..2004-08-26,,,1999-12-01,2004-08-26,
3a1d1a27,3a1d1a27d1dd180654e383ef5f8b6499165d31bef20766ea5441774410a56480,No Refuge,window,date 2003-06-16..2010-06-20,,,2003-06-16,2010-06-20,
3c547249,3c54724995e5c44890e09c7a342ba2d3c604500f86db6cca483d807faedaa824,Huntsman,run,run 2003-10-30,2003-10-30,2003-10-30 — nearby text/file hint,2003-06-16,2010-06-20,
3dda6bc3,3dda6bc3e7b916cab20422a3fa676727fade18daffd0689ba4e5511a671f5be7,Tony Hawk,run,run 2004-03-11,2004-03-11,2004-03-11 — sonyericsson.paradisezone.net juegos.html — THPS4 Alcatraz & Shipyard,2004-03-10,2004-03-14,
418dced7,418dced762176a67c781e5e97fa746a335118f5c1914a9732d4c1a919e198910,Jumping Bubble,run,run 2003-09-07,2003-09-07,2003-09-07 — historical site comment,2003-09-07,2003-09-08,
4467c63b,4467c63beae4f548bbf3dcec12257b0aba114b71a01a1df01c3884e6f4d5f40c,Poker Showdown,run,run 2003-11-09,2003-11-09,2003-11-09 — nearby text/file hint,2003-11-08,2003-11-09,
46e93ab8,46e93ab80594934d1d0c5a8b807196c5056d4e90904868e0cc33cf984881b57c,V-Rally2,run,run 2003-11-01,2003-11-01,2003-11-01 — historical site comment || 2003-11-01 — nearby text/file hint,2003-11-02,2003-11-06,
48bf48ac,48bf48ac48f10b67ed2d674a6cb4d60cfe40210618a4846beb8c88991af2ca17,Space Box,window,date 1999-12-01..2003-08-14,,,1999-12-01,2003-08-14,
4989ee43,4989ee438adc26dbcd33349a7002df03061c6d23ba7298481879ba6b75a746a3,Chaos Realms X,run,run 2004-03-10,2004-03-10,2004-03-10 — nearby text/file hint,2004-03-10,2010-12-31,
4fec1228,4fec12288d0face955e0707beb368655508869701a0b2c27477cc0d6095a21d5,Revs!,run,date 2003-09-05,2003-09-05,2003-09-05 — historical site comment || 2003-09-05 — nearby text/file hint || 2003-09-06 — nearby text/file hint,2003-09-06,2003-09-07,
54f8b17d,54f8b17d8bdd5aa4232950ee2550b5343eb1be4b9413e3bb0f72b9f9bdd98cab,DragonTale,window,v1.2 run 2003-11-11,,,,,
